,FR1A__PSD_06_location_last.lat,FR1A__PSD_06_location_last.lon,FR1A__Diagnose_01__UH_Timestamp_first.text,FASCAN__ESP_21__ESP_v_Signal_last
0,48.78481000000001,11.422910000000002,2021-09-30T07:19:53,0.0
1,48.78481000000001,11.422910000000002,2021-09-30T07:19:54,0.0
2,48.78481000000001,11.422910000000002,2021-09-30T07:20:22,0.0
3,48.78481000000001,11.422910000000002,2021-09-30T07:20:28,0.0
4,48.78481000000001,11.422910000000002,2021-09-30T07:20:31,0.0
5,48.78481000000001,11.422910000000002,2021-09-30T07:20:45,0.0
6,48.78481000000001,11.422910000000002,2021-09-30T07:21:03,0.0
7,48.78481000000001,11.422910000000002,2021-09-30T07:21:09,0.0
8,48.78481000000001,11.422910000000002,2021-09-30T07:21:13,0.0
9,48.78481000000001,11.422910000000002,2021-09-30T07:21:14,0.0
10,48.78481000000001,11.422910000000002,2021-09-30T07:21:23,0.0
11,48.78481000000001,11.422910000000002,2021-09-30T07:21:25,0.0
12,48.78481000000001,11.422910000000002,2021-09-30T07:21:29,0.0
13,48.78481000000001,11.422910000000002,2021-09-30T07:21:40,0.0
14,48.78481000000001,11.422910000000002,2021-09-30T07:22:01,0.0
15,48.78481000000001,11.422910000000002,2021-09-30T07:22:05,0.0
16,48.78481000000001,11.422910000000002,2021-09-30T07:22:35,0.0
17,48.78481000000001,11.422910000000002,2021-09-30T07:23:05,0.0
18,48.78481000000001,11.422910000000002,2021-09-30T07:23:07,0.0
19,48.78481000000001,11.422910000000002,2021-09-30T07:23:09,0.0
20,48.78481000000001,11.422910000000002,2021-09-30T07:23:22,0.0
21,48.78481000000001,11.422910000000002,2021-09-30T07:23:23,0.0
22,48.78481000000001,11.422910000000002,2021-09-30T07:23:31,0.0
23,48.78481000000001,11.422910000000002,2021-09-30T07:23:38,0.0
24,48.78481000000001,11.422910000000002,2021-09-30T07:23:46,0.0
25,48.78481000000001,11.422910000000002,2021-09-30T07:24:11,0.0
26,48.78481000000001,11.422910000000002,2021-09-30T07:24:15,0.0
27,48.78481000000001,11.422910000000002,2021-09-30T07:24:23,0.0
28,48.78481000000001,11.422910000000002,2021-09-30T07:24:48,0.0
29,48.78481000000001,11.422910000000002,2021-09-30T07:25:14,0.0
30,48.78481000000001,11.422910000000002,2021-09-30T07:25:15,0.0
31,48.78481000000001,11.422910000000002,2021-09-30T07:25:20,0.0
32,48.78481000000001,11.422910000000002,2021-09-30T07:25:37,0.0
33,48.78481000000001,11.422910000000002,2021-09-30T07:25:42,0.0
34,48.78481000000001,11.422910000000002,2021-09-30T07:25:45,0.0
35,48.78481000000001,11.422910000000002,2021-09-30T07:26:08,0.0
36,48.78481000000001,11.422910000000002,2021-09-30T07:26:32,0.0
37,48.78481000000001,11.422910000000002,2021-09-30T07:26:35,0.0
38,48.78481000000001,11.422910000000002,2021-09-30T07:26:40,0.0
39,48.78481000000001,11.422910000000002,2021-09-30T07:27:07,0.0
40,48.78481000000001,11.422910000000002,2021-09-30T07:27:09,0.0
41,48.78481000000001,11.422910000000002,2021-09-30T07:27:15,0.0
42,48.78481000000001,11.422910000000002,2021-09-30T07:27:22,0.0
43,48.78481000000001,11.422910000000002,2021-09-30T07:27:31,0.0
44,48.78481000000001,11.422910000000002,2021-09-30T07:27:36,0.0
45,48.78481000000001,11.422910000000002,2021-09-30T07:27:45,0.0
46,48.78481000000001,11.422910000000002,2021-09-30T07:27:51,0.0
47,48.78481000000001,11.422910000000002,2021-09-30T07:27:51,0.0
48,48.785250000000005,11.421790000000001,2021-09-30T07:47:57,0.0
49,48.785250000000005,11.421790000000001,2021-09-30T07:48:18,0.0
50,48.785250000000005,11.421790000000001,2021-09-30T07:48:37,0.0
51,48.785250000000005,11.421790000000001,2021-09-30T07:48:42,0.0
52,48.785250000000005,11.421790000000001,2021-09-30T07:48:55,0.0
53,48.785250000000005,11.421790000000001,2021-09-30T07:49:02,0.0
54,48.785250000000005,11.421790000000001,2021-09-30T07:49:11,0.0
55,48.785250000000005,11.421790000000001,2021-09-30T07:49:28,0.0
56,48.785250000000005,11.421790000000001,2021-09-30T07:49:43,0.0
57,48.785250000000005,11.421790000000001,2021-09-30T07:49:44,0.0
58,48.785250000000005,11.421790000000001,2021-09-30T07:49:54,0.0
59,48.785250000000005,11.421790000000001,2021-09-30T07:49:55,0.0
60,48.785250000000005,11.421790000000001,2021-09-30T07:49:58,0.0
61,48.785250000000005,11.421790000000001,2021-09-30T07:50:16,0.0
62,48.785250000000005,11.421790000000001,2021-09-30T07:50:19,0.0
63,48.785250000000005,11.421790000000001,2021-09-30T07:50:38,0.0
64,48.785250000000005,11.421790000000001,2021-09-30T07:50:42,0.0
65,48.785250000000005,11.421790000000001,2021-09-30T07:50:47,0.0
66,48.785250000000005,11.421790000000001,2021-09-30T07:51:03,0.0
67,48.785250000000005,11.421790000000001,2021-09-30T07:51:10,0.0
68,48.785250000000005,11.421790000000001,2021-09-30T07:51:29,0.0
69,48.785250000000005,11.421790000000001,2021-09-30T07:51:39,0.0
70,48.785250000000005,11.421790000000001,2021-09-30T07:51:52,0.0
71,48.785250000000005,11.421790000000001,2021-09-30T07:51:56,0.0
72,48.785250000000005,11.421790000000001,2021-09-30T07:52:06,0.0
73,48.785250000000005,11.421790000000001,2021-09-30T07:52:06,0.0
74,48.785250000000005,11.421790000000001,2021-09-30T07:52:06,0.0
75,48.785250000000005,11.421790000000001,2021-09-30T07:52:23,0.0
76,48.785250000000005,11.421790000000001,2021-09-30T07:52:25,0.0
