"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority";"DelfiName";"TariffDHID";"TariffName"
"482";"Q";"de:09161:7572:0:1";"de:09161:7572";"1";"48,7718";"11,43983";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"483";"Q";"de:09161:7572:0:2";"de:09161:7572";"2";"48,77208";"11,44036";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"484";"S";"de:09161:7596";"de:09161:7596";"IN, Johann-Michael-Sailer-Str.";"48,76965";"11,38662";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"485";"Q";"de:09161:7596:0:1";"de:09161:7596";"1";"48,76962";"11,38661";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"486";"Q";"de:09161:7596:0:2";"de:09161:7596";"2";"48,7697";"11,38663";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"487";"S";"de:09161:7613";"de:09161:7613";"IN, Am Westpark 1";"48,77389";"11,38783";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"488";"Q";"de:09161:7613:0:1";"de:09161:7613";"99";"48,77389";"11,38781";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"489";"S";"de:09161:7621";"de:09161:7621";"IN, Richard-Wagner-Straße";"48,77349";"11,40059";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"490";"Q";"de:09161:7621:0:1";"de:09161:7621";"1";"48,77357";"11,39872";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"491";"Q";"de:09161:7621:0:2";"de:09161:7621";"2";"48,77343";"11,40236";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
