id,lat,lon,x,y
101,48.739675937397266,11.436380898375218,6721.71,1749.04
102,48.73940372217618,11.436651351245253,6742.56,1719.42
103401,48.751728132498975,11.476272124367597,9610.73,3183.17
103402,48.75335588892911,11.47667790804377,9634.67,3365.06
104201,48.77213061687875,11.397254876985471,3731.83,5265.05
104203,48.772180432454846,11.396733070059241,3693.32,5269.38
10599,48.7401902459473,11.469513574259008,9155.58,1884.64
10801,48.76297944270701,11.447256322157736,7437.98,4364.79
10802,48.76163976843787,11.448069777731382,7502.54,4217.81
10902,48.76249920131887,11.410632661929414,4748.55,4225.57
11001,48.75964952826827,11.43011538129309,6190.27,3954.34
11002,48.7596214469618,11.430465524947552,6216.1,3952.04
11301,48.75197361850675,11.446336664749849,7409.7,3139.35
11302,48.751706830786134,11.447078977068191,7465.21,3111.45
11499,48.741756911996276,11.473198943953857,9420.85,2067.56
118201,48.79792201152933,11.453829935462695,7795.82,8264.12
118202,48.80234625608621,11.457389815544124,8041.34,8764.3
12601,48.76867669334802,11.407929154511201,4528.18,4905.9
12602,48.768556911532336,11.40692767543614,4455.02,4890.26
12701,48.73830294586822,11.446174356976591,7446.57,1619.51
12702,48.737766377231544,11.445893944112676,7427.87,1559.21
12901,48.760510707667976,11.422056137035126,5594.99,4031.19
12902,48.76006068833337,11.422705783883945,5644.32,3982.69
13201,48.76448958132385,11.39672588970527,3719.7,4414.54
13202,48.76405745805534,11.394870098113971,3584.85,4362.22
13401,48.7948834719772,11.476992001979834,9507.58,7981.49
13402,48.79511887689455,11.478571148891222,9622.69,8011.43
13501,48.78550424988489,11.448831555189802,7473.2,6872.09
13502,48.78546844964341,11.448678819784373,7462.11,6867.75
13702,48.736721237424284,11.433698671841118,6535.02,1414.33
145901,48.78280307065495,11.400747960418224,3951.05,6459.36
145902,48.78274763927159,11.40068799849748,3946.84,6453.06
146701,48.76635089901152,11.43176873239476,6287.98,4703.06
146702,48.76662519898061,11.431599201218665,6274.55,4733.15
147301,48.77722047759642,11.434401302689677,6442.78,5917.37
147302,48.77645573877345,11.434294469935567,6437.65,5832.12
14798,48.76641310858948,11.379721877150178,2463.59,4589.15
14799,48.7665284918386,11.379793884888981,2468.48,4602.14
148199,48.7820672512568,11.474753171045244,9389.49,6551.65
148301,48.781760010337024,11.40295908244234,4117.12,6348.55
148302,48.78190484602623,11.402563021155856,4087.52,6363.73
14899,48.7620018276434,11.454334251423656,7961.57,4272.87
149299,48.785317773801786,11.39729837323726,3688.87,6730.88
156198,48.756331456914154,11.437832226602062,6769.15,3603.67
156199,48.75576161369303,11.438442812637474,6816.05,3541.77
156301,48.78852690005603,11.444332392153973,7131.96,7197.43
156302,48.78922786920139,11.441604004137437,6929.08,7268.91
156401,48.78664259168154,11.447127852158777,7344.0,6994.59
156402,48.78656527737072,11.44709114116873,7341.58,6985.91
156501,48.784936773905216,11.43949613998667,6789.56,6787.0
156502,48.78549247630322,11.444264444752859,7137.8,6860.0
157401,48.75193379918871,11.43207362886524,6361.56,3101.35
157402,48.75076799572756,11.432834493262709,6421.62,2973.56
159401,48.78481484776949,11.398240385707284,3759.82,6677.16
159402,48.78575499251906,11.397650196135595,3713.18,6780.29
162401,48.7637140223954,11.439534598925475,6867.97,4428.23
162402,48.76364746762034,11.440871206583505,6966.42,4423.98
162598,48.75856201072255,11.4390347093199,6849.58,3854.42
162599,48.75872220320963,11.439431928811974,6878.2,3873.16
162601,48.76301289125897,11.444274423141096,7218.75,4361.47
162602,48.762430262312115,11.443815546942435,7187.11,4295.63
162603,48.76297276590154,11.44403268257906,7201.13,4356.44
164801,48.74766723508142,11.433733660319916,6498.72,2631.03
164802,48.74690935063198,11.434698621678786,6572.34,2549.06
164803,48.74765508895835,11.433844361837146,6506.9,2629.94
16501,48.75186002619017,11.427681019574083,6038.98,3082.85
16502,48.751887633118116,11.428249315598725,6080.65,3087.25
167301,48.77320378017353,11.43391895833679,6421.62,5469.79
167302,48.7735249374732,11.433699277370959,6404.34,5504.97
167799,48.784452278203354,11.479907225503155,9759.43,6829.06
168101,48.76620378907786,11.437464333923499,6706.99,4700.09
168102,48.76609375798499,11.437442945973812,6705.81,4687.81
173101,48.741336488779666,11.425522031298753,5917.55,1908.13
173102,48.73883677266094,11.426336457560954,5986.27,1632.2
17901,48.748406644206035,11.47079830019031,9220.4,2800.93
17902,48.74840984651695,11.470372206608946,9189.07,2800.27
18001,48.74182450151468,11.449154308442635,7653.06,2017.96
18002,48.74166016497697,11.447840534718248,7557.07,1996.59
180301,48.77552620457133,11.382287657768996,2620.42,5607.95
180302,48.77469451788653,11.383375237247373,2703.21,5518.01
180801,48.78765695763632,11.376339829923673,2141.39,6942.61
180802,48.79038032712738,11.377029365760857,2182.58,7246.89
181101,48.740587182525736,11.437238834961217,6781.54,1852.34
181102,48.74043166019673,11.436799144316293,6749.77,1834.02
18301,48.77656349937241,11.416910618915482,5160.24,5803.41
18302,48.776429058117195,11.416813228376776,5153.56,5788.24
18303,48.77519040515083,11.416883461926096,5163.09,5650.73
18304,48.774917194781,11.417336560589977,5197.34,5621.42
184096,48.74591374144079,11.483217618337651,10142.27,2553.54
184097,48.74591374144079,11.483217618337651,10142.27,2553.54
184099,48.74555381948661,11.48252659091349,10092.78,2511.88
184599,48.744442372028935,11.439697644915144,6948.57,2286.62
184601,48.78703320812359,11.380879595658884,2476.98,6883.7
184602,48.78695116157262,11.380948963480073,2482.36,6874.74
184901,48.798648355800275,11.371650952058271,1758.95,8153.55
184902,48.79907434352301,11.370178564094337,1649.36,8197.53
185001,48.78140470422359,11.423949674039038,5660.2,6357.94
185002,48.781928428155005,11.423406243246465,5618.43,6414.88
18501,48.73958526152319,11.433524830921778,6512.07,1732.25
18502,48.73937227194522,11.432239970406327,6418.37,1705.56
185101,48.78355488840842,11.418355553871809,5241.7,6583.86
185102,48.78403025061074,11.418691682592959,5264.71,6637.48
185301,48.79317955875432,11.412702737414019,4792.59,7640.45
185302,48.79280993833912,11.41397509142088,4887.33,7602.33
185699,48.79146096941254,11.450986288309535,7610.14,7539.26
18601,48.77811869799927,11.446133184750975,7301.39,6044.83
18602,48.77833620837176,11.443935144882289,7139.15,6063.82
186301,48.73396790339968,11.460953598050104,8548.65,1172.68
186302,48.73482430622425,11.462886848568283,8687.71,1272.46
186501,48.735984859485825,11.463735744283378,8745.95,1403.47
186502,48.736022492744645,11.463721942263234,8744.8,1407.62
186601,48.73825807073769,11.457566656268293,8284.25,1641.48
186602,48.73697052673216,11.461773551177204,8598.15,1508.36
18701,48.754405397283655,11.440494488145427,6971.66,3395.86
18702,48.754096413503675,11.441331972564488,7034.31,3363.49
187401,48.7858032832261,11.384330969530893,2734.75,6754.93
187402,48.78579088504763,11.382682126294895,2613.69,6749.76
188401,48.792551746662404,11.40841619522474,4480.01,7560.7
188402,48.79373457698424,11.409186531756749,4532.42,7693.96
188501,48.79373457698424,11.409186531756749,4532.42,7693.96
188502,48.792551746662404,11.40841619522474,4480.01,7560.7
188601,48.78953608890473,11.409046682715672,4536.92,7226.98
188602,48.78960790159863,11.408809250798457,4519.23,7234.41
189199,48.77792179053494,11.370169205509596,1721.88,5846.43
189299,48.77820806389366,11.36727765047565,1508.48,5871.64
189799,48.78333802471153,11.476731814194967,9530.23,6697.62
190101,48.795572868527174,11.446568056096574,7270.98,7985.85
190102,48.79561898920355,11.446480694109715,7264.4,7990.77
190601,48.79199406593577,11.405903993300473,4297.48,7492.88
190602,48.79199406593577,11.405903993300473,4297.48,7492.88
190603,48.79199406593577,11.405903993300473,4297.48,7492.88
190604,48.79199406593577,11.405903993300473,4297.48,7492.88
190605,48.791597165318294,11.406961277260168,4376.52,7451.22
190606,48.791597165318294,11.406961277260168,4376.52,7451.22
190607,48.791597165318294,11.406961277260168,4376.52,7451.22
190608,48.791597165318294,11.406961277260168,4376.52,7451.22
19701,48.75031420479556,11.441239647985002,7041.0,2942.89
19702,48.750490959227044,11.441215970259588,7038.63,2962.48
20101,48.77038252025969,11.4381971362787,6745.96,5166.27
20102,48.769462057036066,11.438510509293573,6772.26,5064.7
20201,48.73564081874296,11.445262477158243,7389.03,1321.47
20202,48.734840440699756,11.445003837493248,7372.87,1231.9
20401,48.77296086785023,11.41155137166768,4779.23,5390.5
20402,48.77437417205022,11.410164644104487,4672.38,5544.36
21401,48.793898157490304,11.377599537464803,2212.24,7639.2
21402,48.79411752398161,11.376948918553179,2163.7,7662.09
21601,48.78168108545282,11.376309134907691,2159.87,6278.33
21602,48.7829547522024,11.376271546320288,2152.69,6419.81
23101,48.77870443591727,11.403231482524529,4147.85,6009.56
